	へん Radical on the left	bone	ほねへん	a variant of ⾻（ほね）	
⾼		high	たかい		
⾽	かんむり Radical on the top	long hair	かみかんむり		
⾾	もんがまえ Radical which encloses the kanji	fighting	たたかいがまえ		
⾿		herbs	においざけ		
⿀		tripod	れき		
⿁		demon	おに		
⾱		leather	なめしがわ	a variant of （なめしがわ）	
⿂		fish	うお		
	へん Radical on the left	fish	うおへん	a variant of ⿂（うお）	Important
⿃		bird	とり		
⿄		salt	しお		
⿅		deer	しか		
⿆		wheat	むぎ		
⿇		hemp	あさ		
	かんむり Radical on the top	hemp	あさかんむり	a variant of ⿇（あさ）	
⻩		yellow	き	a variant of ⿈（き）	
黒		black	くろ	a variant of ⿊（くろ）	
⻲		turtle	かめ	a variant of ⿔（かめ）	
⿈		yellow	き		
⿉		millet	きび		
⿊		black	くろ		
⿋		embroider	ぬいとり		
⻭		tooth	は	a variant of ⿒（は）	
⿌		frog	かえる		
⿍		tripod	かなえ		
⿎		drum	つづみ		
⿏		rat, mouse	ねずみ		
⿐		nose	はな		
⿑		alike	せい		
⿒		tooth	は		
⿓		dragon	りゅう		
⿔		turtle	かめ		
⿕		flute	やく
